%state	deg. state	t_start (s)	t_dwell (s)
1	1	+0.000e+00	+1.575e+02
2	2	+1.575e+02	+1.895e+00
3	3	+1.593e+02	+2.857e+00
2	2	+1.622e+02	+1.660e+00
3	3	+1.639e+02	+3.718e+00
2	2	+1.676e+02	+4.730e-01
3	3	+1.681e+02	+3.295e-02
2	2	+1.681e+02	+1.869e+00
3	3	+1.700e+02	+8.079e-01
2	2	+1.708e+02	+1.045e+00
3	3	+1.718e+02	+7.632e-01
2	2	+1.726e+02	+1.245e+00
3	3	+1.738e+02	+1.807e-01
2	2	+1.740e+02	+5.103e+00
3	3	+1.791e+02	+7.187e-01
2	2	+1.798e+02	+1.035e+00
3	3	+1.809e+02	+1.322e+00
2	2	+1.822e+02	+4.244e+00
1	1	+1.864e+02	+1.358e+01
0	0	+2.000e+02	+Inf
