%state	deg. state	t_start (s)	t_dwell (s)
1	1	+0.000e+00	+1.620e+01
2	2	+1.620e+01	+4.890e-01
3	3	+1.668e+01	+1.101e+00
2	2	+1.779e+01	+2.345e-01
3	3	+1.802e+01	+2.147e+00
2	2	+2.017e+01	+2.378e+00
3	3	+2.255e+01	+2.767e-01
2	2	+2.282e+01	+7.174e-01
3	3	+2.354e+01	+4.399e-01
2	2	+2.398e+01	+3.239e+00
3	3	+2.722e+01	+9.594e-01
2	2	+2.818e+01	+3.938e+00
1	1	+3.212e+01	+8.507e+00
2	2	+4.062e+01	+1.114e+00
1	1	+4.174e+01	+9.701e+00
2	2	+5.144e+01	+1.536e-01
3	3	+5.159e+01	+5.219e-01
2	2	+5.211e+01	+6.940e+00
3	3	+5.905e+01	+7.955e-02
2	2	+5.913e+01	+2.979e-01
3	3	+5.943e+01	+1.240e+00
2	2	+6.067e+01	+6.054e+00
1	1	+6.672e+01	+4.688e+01
0	0	+1.136e+02	+Inf
