%state	deg. state	t_start (s)	t_dwell (s)
1	1	+0.000e+00	+3.112e-01
2	2	+3.112e-01	+1.095e+00
3	3	+1.406e+00	+1.351e-01
2	2	+1.541e+00	+3.320e+00
1	1	+4.861e+00	+1.698e+00
2	2	+6.559e+00	+1.427e+00
3	3	+7.986e+00	+1.709e+00
2	2	+9.695e+00	+2.071e-01
3	3	+9.902e+00	+2.602e+00
2	2	+1.250e+01	+1.834e+00
3	3	+1.434e+01	+4.374e-02
2	2	+1.438e+01	+6.339e-01
3	3	+1.502e+01	+1.352e-01
2	2	+1.515e+01	+5.360e-01
1	1	+1.569e+01	+4.204e+00
2	2	+1.989e+01	+9.518e-01
3	3	+2.084e+01	+4.039e+00
2	2	+2.488e+01	+1.676e+00
3	3	+2.656e+01	+9.252e-01
2	2	+2.748e+01	+1.207e+00
3	3	+2.869e+01	+1.730e-01
2	2	+2.886e+01	+7.104e-02
3	3	+2.893e+01	+1.174e-01
2	2	+2.905e+01	+6.020e-01
3	3	+2.965e+01	+1.074e-01
2	2	+2.976e+01	+8.412e-02
3	3	+2.984e+01	+1.467e+00
1	1	+3.131e+01	+1.579e+00
2	2	+3.289e+01	+1.420e+00
1	1	+3.431e+01	+9.928e+00
2	2	+4.424e+01	+1.184e+00
3	3	+4.542e+01	+8.661e+00
2	2	+5.408e+01	+1.556e+00
3	3	+5.564e+01	+1.745e+00
1	1	+5.738e+01	+1.087e+00
2	2	+5.847e+01	+5.072e+00
1	1	+6.354e+01	+2.520e-01
2	2	+6.380e+01	+2.806e+00
3	3	+6.660e+01	+1.679e-01
2	2	+6.677e+01	+4.333e+00
0	0	+7.110e+01	+Inf
