%state	deg. state	t_start (s)	t_dwell (s)
2	2	+0.000e+00	+2.919e+00
3	3	+2.919e+00	+3.141e-01
2	2	+3.233e+00	+1.729e+00
3	3	+4.962e+00	+4.850e+00
2	2	+9.812e+00	+3.759e+00
3	3	+1.357e+01	+3.549e-01
2	2	+1.393e+01	+3.753e-01
3	3	+1.430e+01	+7.697e-01
1	1	+1.507e+01	+2.814e+00
2	2	+1.789e+01	+1.295e+00
3	3	+1.918e+01	+1.593e+00
2	2	+2.077e+01	+2.060e+00
3	3	+2.283e+01	+2.982e+00
2	2	+2.582e+01	+3.518e-02
3	3	+2.585e+01	+2.153e+00
2	2	+2.800e+01	+4.663e-01
3	3	+2.847e+01	+9.255e-01
2	2	+2.940e+01	+2.806e+00
3	3	+3.220e+01	+2.496e+00
2	2	+3.470e+01	+1.044e+00
3	3	+3.574e+01	+2.886e+00
2	2	+3.863e+01	+3.141e+00
3	3	+4.177e+01	+3.841e-01
2	2	+4.215e+01	+1.414e+00
1	1	+4.357e+01	+1.710e+00
3	3	+4.528e+01	+1.179e+00
2	2	+4.646e+01	+6.575e+00
3	3	+5.303e+01	+6.354e-01
1	1	+5.367e+01	+1.459e+00
2	2	+5.513e+01	+6.739e-01
3	3	+5.580e+01	+1.447e+00
2	2	+5.725e+01	+2.772e+00
1	1	+6.002e+01	+2.088e+00
2	2	+6.211e+01	+2.371e+00
3	3	+6.448e+01	+1.130e+00
1	1	+6.561e+01	+5.745e-01
3	3	+6.618e+01	+2.407e+00
2	2	+6.859e+01	+1.068e+00
3	3	+6.966e+01	+1.129e+00
1	1	+7.079e+01	+1.277e-01
2	2	+7.092e+01	+1.951e+00
3	3	+7.287e+01	+1.963e+00
1	1	+7.483e+01	+7.670e-01
2	2	+7.560e+01	+1.281e+00
1	1	+7.688e+01	+1.394e+00
3	3	+7.827e+01	+4.238e+00
2	2	+8.251e+01	+2.057e+00
3	3	+8.457e+01	+1.909e+00
1	1	+8.647e+01	+3.595e-02
3	3	+8.651e+01	+1.487e+00
1	1	+8.800e+01	+8.503e-01
3	3	+8.885e+01	+3.428e+00
1	1	+9.228e+01	+2.993e+00
2	2	+9.527e+01	+1.219e+00
3	3	+9.649e+01	+1.145e+00
2	2	+9.763e+01	+1.319e+00
3	3	+9.895e+01	+1.582e+00
2	2	+1.005e+02	+1.523e+00
1	1	+1.021e+02	+6.296e+00
2	2	+1.084e+02	+3.566e+00
3	3	+1.119e+02	+4.712e-01
2	2	+1.124e+02	+1.064e+00
1	1	+1.135e+02	+5.379e-01
2	2	+1.140e+02	+9.523e-01
3	3	+1.149e+02	+1.293e+00
1	1	+1.162e+02	+2.927e+00
2	2	+1.192e+02	+2.395e+00
3	3	+1.216e+02	+4.104e+00
2	2	+1.257e+02	+2.493e-01
3	3	+1.259e+02	+1.751e+00
2	2	+1.277e+02	+6.940e+00
3	3	+1.346e+02	+9.138e+00
1	1	+1.437e+02	+1.407e+00
2	2	+1.451e+02	+1.290e+00
3	3	+1.464e+02	+2.434e-01
2	2	+1.467e+02	+2.411e+00
3	3	+1.491e+02	+1.779e+00
2	2	+1.509e+02	+2.467e+00
3	3	+1.533e+02	+1.021e+00
1	1	+1.544e+02	+4.807e-01
2	2	+1.548e+02	+1.307e+00
3	3	+1.561e+02	+1.381e+00
2	2	+1.575e+02	+6.158e+00
1	1	+1.637e+02	+5.183e+00
2	2	+1.689e+02	+4.803e+00
3	3	+1.737e+02	+6.019e-01
1	1	+1.743e+02	+3.607e+00
2	2	+1.779e+02	+6.649e-01
3	3	+1.785e+02	+1.672e+00
2	2	+1.802e+02	+1.038e+00
3	3	+1.813e+02	+8.539e+00
2	2	+1.898e+02	+3.812e-01
3	3	+1.902e+02	+1.599e+00
2	2	+1.918e+02	+5.572e-01
3	3	+1.923e+02	+4.449e-01
1	1	+1.928e+02	+3.218e+00
2	2	+1.960e+02	+8.338e-02
1	1	+1.961e+02	+3.924e+00
0	0	+2.000e+02	+Inf
