%state	deg. state	t_start (s)	t_dwell (s)
3	3	+0.000e+00	+1.531e+00
1	1	+1.531e+00	+1.040e+00
3	3	+2.571e+00	+1.612e-01
2	2	+2.732e+00	+3.454e+00
1	1	+6.186e+00	+1.115e+00
2	2	+7.301e+00	+4.110e-01
3	3	+7.713e+00	+7.134e-01
2	2	+8.426e+00	+6.169e-01
3	3	+9.043e+00	+8.171e-01
1	1	+9.860e+00	+4.000e+00
2	2	+1.386e+01	+7.090e-01
3	3	+1.457e+01	+7.908e-01
1	1	+1.536e+01	+3.232e+00
2	2	+1.859e+01	+4.683e+00
3	3	+2.327e+01	+5.300e-01
1	1	+2.380e+01	+6.056e+00
3	3	+2.986e+01	+9.140e-02
1	1	+2.995e+01	+3.982e+00
3	3	+3.393e+01	+1.164e+00
2	2	+3.510e+01	+1.342e+00
3	3	+3.644e+01	+2.362e-01
2	2	+3.668e+01	+1.002e+00
1	1	+3.768e+01	+6.522e+00
2	2	+4.420e+01	+1.128e-02
3	3	+4.421e+01	+2.633e-01
2	2	+4.447e+01	+6.148e-01
3	3	+4.509e+01	+8.067e-03
2	2	+4.510e+01	+2.591e+00
3	3	+4.769e+01	+1.261e+00
2	2	+4.895e+01	+1.951e+00
1	1	+5.090e+01	+1.174e-01
2	2	+5.102e+01	+1.448e+00
3	3	+5.247e+01	+2.174e+00
1	1	+5.464e+01	+3.540e+00
2	2	+5.818e+01	+1.723e+00
3	3	+5.990e+01	+1.787e+00
1	1	+6.169e+01	+2.946e-01
3	3	+6.198e+01	+4.694e+00
1	1	+6.668e+01	+2.194e+00
2	2	+6.887e+01	+6.406e-01
3	3	+6.951e+01	+1.608e+00
2	2	+7.112e+01	+1.824e-01
3	3	+7.130e+01	+9.122e-01
2	2	+7.221e+01	+1.565e+00
3	3	+7.378e+01	+3.343e-01
1	1	+7.411e+01	+1.137e+01
2	2	+8.548e+01	+4.148e-01
3	3	+8.590e+01	+1.297e+00
2	2	+8.720e+01	+3.991e-01
3	3	+8.759e+01	+1.772e-01
2	2	+8.777e+01	+1.878e-01
3	3	+8.796e+01	+9.276e-01
2	2	+8.889e+01	+3.666e+00
1	1	+9.255e+01	+4.656e+00
2	2	+9.721e+01	+1.701e-01
3	3	+9.738e+01	+3.421e-01
2	2	+9.772e+01	+9.971e-01
1	1	+9.872e+01	+2.889e+00
2	2	+1.016e+02	+2.178e-01
1	1	+1.018e+02	+1.059e+00
2	2	+1.029e+02	+1.653e+00
3	3	+1.045e+02	+8.204e-01
0	0	+1.054e+02	+Inf
