%state	deg. state	t_start (s)	t_dwell (s)
1	1	+0.000e+00	+1.000e+00
2	2	+1.000e+00	+5.392e-02
3	3	+1.054e+00	+8.570e-01
1	1	+1.911e+00	+1.373e+00
3	3	+3.285e+00	+2.725e-01
2	2	+3.557e+00	+5.127e+00
3	3	+8.684e+00	+6.152e-01
2	2	+9.299e+00	+3.845e+00
3	3	+1.314e+01	+6.241e-01
2	2	+1.377e+01	+5.648e+00
3	3	+1.942e+01	+8.802e-01
1	1	+2.030e+01	+1.739e+00
2	2	+2.204e+01	+2.107e+00
3	3	+2.414e+01	+2.455e-01
2	2	+2.439e+01	+1.246e+00
3	3	+2.563e+01	+5.201e-01
1	1	+2.615e+01	+1.049e+00
2	2	+2.720e+01	+1.176e-01
1	1	+2.732e+01	+1.610e+00
3	3	+2.893e+01	+2.967e-01
2	2	+2.923e+01	+2.676e+00
3	3	+3.190e+01	+1.829e+00
1	1	+3.373e+01	+4.242e-01
2	2	+3.416e+01	+7.652e-01
1	1	+3.492e+01	+1.087e+00
3	3	+3.601e+01	+1.590e-01
1	1	+3.617e+01	+1.361e+00
2	2	+3.753e+01	+3.908e+00
3	3	+4.144e+01	+2.003e+00
2	2	+4.344e+01	+2.780e+00
3	3	+4.622e+01	+1.059e+00
2	2	+4.728e+01	+4.747e+00
3	3	+5.203e+01	+1.225e+00
2	2	+5.325e+01	+2.403e-01
3	3	+5.349e+01	+1.472e+00
2	2	+5.497e+01	+3.565e+00
3	3	+5.853e+01	+4.170e-01
2	2	+5.895e+01	+4.154e+00
3	3	+6.310e+01	+3.705e-01
1	1	+6.347e+01	+1.497e-01
3	3	+6.362e+01	+2.999e+00
2	2	+6.662e+01	+1.092e+00
3	3	+6.771e+01	+1.017e+00
2	2	+6.873e+01	+5.640e-02
3	3	+6.879e+01	+2.274e+00
1	1	+7.106e+01	+1.932e+00
2	2	+7.299e+01	+2.092e-01
3	3	+7.320e+01	+4.009e+00
2	2	+7.721e+01	+1.689e+00
3	3	+7.890e+01	+4.490e-01
2	2	+7.935e+01	+2.483e-01
1	1	+7.960e+01	+2.834e+00
2	2	+8.243e+01	+1.477e+00
1	1	+8.391e+01	+2.708e-01
2	2	+8.418e+01	+1.128e+00
3	3	+8.531e+01	+3.215e+00
2	2	+8.852e+01	+2.264e+00
3	3	+9.078e+01	+1.775e+00
1	1	+9.256e+01	+1.147e+00
0	0	+9.371e+01	+Inf
