%state	deg. state	t_start (s)	t_dwell (s)
2	2	+0.000e+00	+1.007e+00
1	1	+1.007e+00	+1.242e+00
3	3	+2.249e+00	+5.315e+00
1	1	+7.564e+00	+1.260e+00
2	2	+8.824e+00	+3.579e-01
3	3	+9.182e+00	+2.462e+00
2	2	+1.164e+01	+2.325e+00
3	3	+1.397e+01	+3.776e-01
2	2	+1.435e+01	+1.916e-01
1	1	+1.454e+01	+5.705e-01
2	2	+1.511e+01	+3.874e+00
3	3	+1.898e+01	+3.511e+00
1	1	+2.249e+01	+2.033e+00
2	2	+2.453e+01	+1.032e+00
3	3	+2.556e+01	+3.645e+00
1	1	+2.920e+01	+2.316e-03
2	2	+2.921e+01	+3.147e-01
3	3	+2.952e+01	+9.215e-02
2	2	+2.961e+01	+3.760e+00
3	3	+3.337e+01	+1.196e+00
2	2	+3.457e+01	+4.302e-01
1	1	+3.500e+01	+1.913e+00
2	2	+3.691e+01	+6.050e-01
3	3	+3.752e+01	+7.604e-01
1	1	+3.828e+01	+2.092e+00
2	2	+4.037e+01	+1.319e+00
3	3	+4.169e+01	+3.536e-01
2	2	+4.204e+01	+3.289e-01
3	3	+4.237e+01	+1.742e+00
2	2	+4.411e+01	+4.687e-01
3	3	+4.458e+01	+1.698e+00
1	1	+4.628e+01	+7.463e-01
3	3	+4.702e+01	+1.860e+00
2	2	+4.888e+01	+3.743e-01
1	1	+4.926e+01	+3.878e+00
2	2	+5.314e+01	+1.169e+00
3	3	+5.431e+01	+1.398e+00
0	0	+5.570e+01	+Inf
