%state	deg. state	t_start (s)	t_dwell (s)
3	3	+0.000e+00	+2.170e+00
1	1	+2.170e+00	+6.778e-01
2	2	+2.848e+00	+1.261e+00
1	1	+4.109e+00	+2.038e+00
2	2	+6.147e+00	+1.544e-01
3	3	+6.302e+00	+1.171e+00
2	2	+7.473e+00	+2.927e+00
1	1	+1.040e+01	+7.238e+00
2	2	+1.764e+01	+1.607e+00
3	3	+1.924e+01	+7.441e-02
2	2	+1.932e+01	+2.256e+00
3	3	+2.157e+01	+1.373e+00
1	1	+2.295e+01	+3.194e+00
2	2	+2.614e+01	+1.375e+00
3	3	+2.752e+01	+1.225e-01
1	1	+2.764e+01	+1.550e+00
2	2	+2.919e+01	+1.131e+00
1	1	+3.032e+01	+7.512e-01
2	2	+3.107e+01	+1.588e+00
3	3	+3.266e+01	+1.502e-01
1	1	+3.281e+01	+1.097e+00
2	2	+3.391e+01	+1.450e+00
3	3	+3.536e+01	+6.834e+00
2	2	+4.219e+01	+2.664e-02
3	3	+4.222e+01	+6.664e-01
2	2	+4.288e+01	+1.698e+00
3	3	+4.458e+01	+6.813e+00
2	2	+5.140e+01	+9.151e-01
3	3	+5.231e+01	+1.789e+00
2	2	+5.410e+01	+2.419e+00
3	3	+5.652e+01	+7.590e-01
1	1	+5.728e+01	+1.596e+00
2	2	+5.887e+01	+3.427e-01
3	3	+5.922e+01	+2.709e-01
1	1	+5.949e+01	+6.544e-01
3	3	+6.014e+01	+1.587e-01
2	2	+6.030e+01	+8.414e+00
3	3	+6.871e+01	+3.350e-02
2	2	+6.875e+01	+4.185e-01
3	3	+6.917e+01	+1.401e+00
2	2	+7.057e+01	+1.608e+00
3	3	+7.217e+01	+2.596e+00
2	2	+7.477e+01	+2.025e+00
3	3	+7.680e+01	+2.066e-01
1	1	+7.700e+01	+2.845e+00
2	2	+7.985e+01	+3.130e+00
3	3	+8.298e+01	+8.001e-02
2	2	+8.306e+01	+2.844e+00
1	1	+8.590e+01	+4.022e+00
2	2	+8.992e+01	+3.561e+00
3	3	+9.348e+01	+4.219e-01
2	2	+9.391e+01	+9.081e-01
3	3	+9.481e+01	+1.440e+00
1	1	+9.626e+01	+3.033e+00
2	2	+9.929e+01	+6.623e-01
1	1	+9.995e+01	+6.402e+00
3	3	+1.064e+02	+3.571e+00
1	1	+1.099e+02	+9.567e-01
2	2	+1.109e+02	+1.080e+00
3	3	+1.120e+02	+6.454e+00
2	2	+1.184e+02	+3.995e+00
3	3	+1.224e+02	+3.099e-01
1	1	+1.227e+02	+4.962e+00
2	2	+1.277e+02	+1.431e+00
3	3	+1.291e+02	+6.913e-01
2	2	+1.298e+02	+9.067e-01
3	3	+1.307e+02	+5.881e+00
2	2	+1.366e+02	+3.594e-01
3	3	+1.370e+02	+8.658e-02
2	2	+1.370e+02	+2.384e+00
1	1	+1.394e+02	+2.864e-01
2	2	+1.397e+02	+2.088e+00
3	3	+1.418e+02	+2.962e-01
1	1	+1.421e+02	+1.479e+00
2	2	+1.436e+02	+1.810e-01
3	3	+1.438e+02	+3.561e+00
1	1	+1.473e+02	+3.050e+00
3	3	+1.504e+02	+4.478e-01
1	1	+1.508e+02	+1.282e+00
2	2	+1.521e+02	+4.539e-01
3	3	+1.525e+02	+3.378e+00
1	1	+1.559e+02	+2.815e+00
2	2	+1.587e+02	+4.041e-01
3	3	+1.591e+02	+1.134e+00
2	2	+1.603e+02	+7.866e-01
1	1	+1.611e+02	+4.655e-02
2	2	+1.611e+02	+2.110e+00
3	3	+1.632e+02	+1.031e+00
2	2	+1.643e+02	+3.382e+00
3	3	+1.676e+02	+1.906e+00
1	1	+1.695e+02	+2.653e+00
2	2	+1.722e+02	+8.779e+00
3	3	+1.810e+02	+2.562e-01
2	2	+1.812e+02	+2.895e-01
1	1	+1.815e+02	+7.312e+00
2	2	+1.888e+02	+9.719e-01
1	1	+1.898e+02	+9.602e-01
3	3	+1.908e+02	+1.530e+00
2	2	+1.923e+02	+2.814e-01
3	3	+1.926e+02	+1.333e+00
2	2	+1.939e+02	+2.064e+00
3	3	+1.960e+02	+1.060e+00
2	2	+1.970e+02	+2.970e+00
0	0	+2.000e+02	+Inf
