%state	deg. state	t_start (s)	t_dwell (s)
2	2	+0.000e+00	+7.487e-01
1	1	+7.487e-01	+2.114e+00
2	2	+2.863e+00	+5.053e+00
3	3	+7.916e+00	+1.460e+00
2	2	+9.376e+00	+2.883e+00
3	3	+1.226e+01	+4.125e+00
2	2	+1.638e+01	+5.335e-01
3	3	+1.692e+01	+8.443e-01
2	2	+1.776e+01	+2.513e+00
3	3	+2.027e+01	+1.363e+00
1	1	+2.164e+01	+6.775e-01
2	2	+2.232e+01	+5.400e-01
3	3	+2.286e+01	+2.103e+00
2	2	+2.496e+01	+1.417e+00
3	3	+2.638e+01	+6.081e-01
2	2	+2.698e+01	+4.728e+00
3	3	+3.171e+01	+1.138e+00
2	2	+3.285e+01	+6.338e-01
3	3	+3.348e+01	+4.405e+00
0	0	+3.789e+01	+Inf
