%state	deg. state	t_start (s)	t_dwell (s)
3	3	+0.000e+00	+3.147e+00
2	2	+3.147e+00	+5.940e-01
3	3	+3.741e+00	+1.907e+00
1	1	+5.648e+00	+5.025e+00
2	2	+1.067e+01	+3.420e+00
3	3	+1.409e+01	+1.960e-02
1	1	+1.411e+01	+2.439e+00
2	2	+1.655e+01	+1.902e+00
3	3	+1.845e+01	+2.708e+00
2	2	+2.116e+01	+5.548e+00
1	1	+2.671e+01	+8.389e-01
2	2	+2.755e+01	+9.976e-01
3	3	+2.855e+01	+4.344e+00
2	2	+3.289e+01	+4.252e-01
3	3	+3.332e+01	+2.553e+00
2	2	+3.587e+01	+4.495e-01
3	3	+3.632e+01	+3.774e-01
2	2	+3.670e+01	+1.121e+00
3	3	+3.782e+01	+9.736e-01
1	1	+3.879e+01	+1.114e-01
3	3	+3.890e+01	+7.274e+00
2	2	+4.618e+01	+3.442e+00
3	3	+4.962e+01	+1.347e+00
2	2	+5.097e+01	+6.835e-01
3	3	+5.165e+01	+4.086e-01
1	1	+5.206e+01	+1.979e+00
2	2	+5.404e+01	+3.164e-01
3	3	+5.435e+01	+2.737e-01
2	2	+5.463e+01	+3.288e+00
3	3	+5.792e+01	+2.245e-02
2	2	+5.794e+01	+4.642e+00
1	1	+6.258e+01	+2.314e+00
2	2	+6.489e+01	+1.192e-01
3	3	+6.501e+01	+3.212e-01
2	2	+6.533e+01	+9.621e-01
3	3	+6.630e+01	+5.587e-01
1	1	+6.686e+01	+1.376e+00
2	2	+6.823e+01	+8.042e+00
3	3	+7.627e+01	+5.920e-01
2	2	+7.687e+01	+7.324e+00
3	3	+8.419e+01	+8.109e-01
2	2	+8.500e+01	+7.487e+00
3	3	+9.249e+01	+7.886e-01
1	1	+9.328e+01	+4.821e+00
2	2	+9.810e+01	+6.701e-01
3	3	+9.877e+01	+1.521e+00
2	2	+1.003e+02	+8.707e-01
3	3	+1.012e+02	+3.416e+00
2	2	+1.046e+02	+3.351e+00
3	3	+1.079e+02	+1.428e-02
1	1	+1.079e+02	+6.566e+00
2	2	+1.145e+02	+2.065e+00
3	3	+1.166e+02	+1.526e+00
2	2	+1.181e+02	+5.706e+00
3	3	+1.238e+02	+3.141e+00
1	1	+1.269e+02	+1.321e-01
2	2	+1.271e+02	+1.938e+00
3	3	+1.290e+02	+1.589e+00
2	2	+1.306e+02	+1.121e+00
3	3	+1.317e+02	+4.534e-01
1	1	+1.322e+02	+4.363e+00
2	2	+1.365e+02	+6.032e-01
3	3	+1.371e+02	+2.233e-01
1	1	+1.374e+02	+1.900e-01
2	2	+1.376e+02	+2.879e+00
3	3	+1.404e+02	+1.508e+00
2	2	+1.419e+02	+8.568e+00
3	3	+1.505e+02	+3.637e+00
2	2	+1.541e+02	+1.946e+00
3	3	+1.561e+02	+1.905e+00
2	2	+1.580e+02	+7.330e+00
1	1	+1.653e+02	+7.752e-02
2	2	+1.654e+02	+7.937e-01
1	1	+1.662e+02	+4.550e+00
2	2	+1.708e+02	+3.727e+00
3	3	+1.745e+02	+1.792e-01
1	1	+1.747e+02	+1.295e+00
2	2	+1.760e+02	+1.080e+00
3	3	+1.770e+02	+1.422e+00
1	1	+1.785e+02	+6.903e-01
2	2	+1.791e+02	+5.098e-01
1	1	+1.797e+02	+3.165e+00
2	2	+1.828e+02	+1.436e+00
3	3	+1.843e+02	+2.890e-01
2	2	+1.845e+02	+4.470e-01
1	1	+1.850e+02	+2.223e+00
2	2	+1.872e+02	+1.175e+00
3	3	+1.884e+02	+1.868e+00
1	1	+1.903e+02	+3.476e+00
2	2	+1.937e+02	+1.480e-01
3	3	+1.939e+02	+9.168e-01
2	2	+1.948e+02	+1.500e+00
3	3	+1.963e+02	+1.733e+00
2	2	+1.980e+02	+1.967e+00
0	0	+2.000e+02	+Inf
