%state	deg. state	t_start (s)	t_dwell (s)
1	1	+0.000e+00	+3.192e+00
2	2	+3.192e+00	+3.437e-01
1	1	+3.535e+00	+4.612e+00
2	2	+8.148e+00	+7.283e-01
1	1	+8.876e+00	+5.672e-02
2	2	+8.933e+00	+9.484e+00
1	1	+1.842e+01	+3.995e+00
2	2	+2.241e+01	+4.039e+00
1	1	+2.645e+01	+1.146e+01
2	2	+3.791e+01	+1.447e+00
1	1	+3.936e+01	+8.406e+00
3	3	+4.777e+01	+2.022e+01
1	1	+6.799e+01	+2.694e+00
3	3	+7.068e+01	+3.895e+00
1	1	+7.458e+01	+2.774e+00
3	3	+7.735e+01	+1.035e+01
2	2	+8.770e+01	+2.859e+00
1	1	+9.056e+01	+4.084e+00
2	2	+9.465e+01	+1.137e+00
1	1	+9.579e+01	+2.827e+00
2	2	+9.861e+01	+3.259e+00
1	1	+1.019e+02	+3.078e+00
2	2	+1.049e+02	+5.235e+00
1	1	+1.102e+02	+2.386e+00
2	2	+1.126e+02	+3.471e+00
1	1	+1.160e+02	+2.308e+00
2	2	+1.183e+02	+3.860e+00
1	1	+1.222e+02	+1.670e+01
2	2	+1.389e+02	+4.131e-01
1	1	+1.393e+02	+1.285e+01
3	3	+1.522e+02	+1.941e+01
2	2	+1.716e+02	+3.011e+00
1	1	+1.746e+02	+9.932e+00
2	2	+1.845e+02	+1.709e+01
1	1	+2.016e+02	+6.611e+00
2	2	+2.082e+02	+3.654e+00
1	1	+2.119e+02	+1.715e+01
3	3	+2.290e+02	+2.956e+00
2	2	+2.320e+02	+4.178e+00
1	1	+2.362e+02	+8.399e+00
2	2	+2.446e+02	+1.180e+01
1	1	+2.564e+02	+2.631e-02
2	2	+2.564e+02	+1.035e-01
1	1	+2.565e+02	+6.283e-01
3	3	+2.571e+02	+5.282e+00
2	2	+2.624e+02	+1.296e+00
1	1	+2.637e+02	+2.979e+00
2	2	+2.667e+02	+4.014e+00
1	1	+2.707e+02	+5.643e-01
2	2	+2.713e+02	+2.474e+00
1	1	+2.737e+02	+3.120e+00
2	2	+2.769e+02	+1.038e+01
1	1	+2.872e+02	+5.528e+00
3	3	+2.928e+02	+2.735e+00
2	2	+2.955e+02	+3.879e+00
1	1	+2.994e+02	+4.505e+00
3	3	+3.039e+02	+2.760e+01
2	2	+3.315e+02	+1.654e+01
1	1	+3.480e+02	+6.487e+00
3	3	+3.545e+02	+7.529e-03
2	2	+3.545e+02	+2.948e+00
1	1	+3.575e+02	+9.019e+00
2	2	+3.665e+02	+2.389e+00
1	1	+3.689e+02	+8.686e+00
2	2	+3.776e+02	+1.057e+00
1	1	+3.786e+02	+3.918e-01
2	2	+3.790e+02	+1.126e+01
1	1	+3.903e+02	+5.674e+00
3	3	+3.959e+02	+9.133e+00
2	2	+4.051e+02	+4.543e+00
1	1	+4.096e+02	+6.709e+00
2	2	+4.163e+02	+6.893e-02
1	1	+4.164e+02	+8.663e+00
2	2	+4.251e+02	+3.612e+00
1	1	+4.287e+02	+1.553e+01
2	2	+4.442e+02	+5.972e-01
1	1	+4.448e+02	+1.303e+00
3	3	+4.461e+02	+2.840e+00
2	2	+4.489e+02	+1.020e+01
1	1	+4.591e+02	+2.481e+00
3	3	+4.616e+02	+1.042e+01
2	2	+4.720e+02	+6.798e+00
1	1	+4.788e+02	+8.326e+00
2	2	+4.872e+02	+1.384e+00
1	1	+4.886e+02	+1.145e+01
0	0	+5.000e+02	+Inf
