%state	deg. state	t_start (s)	t_dwell (s)
1	1	+0.000e+00	+4.992e+00
3	3	+4.992e+00	+7.853e+00
1	1	+1.284e+01	+1.897e+00
2	2	+1.474e+01	+7.005e+00
1	1	+2.175e+01	+6.331e+00
3	3	+2.808e+01	+3.433e+00
2	2	+3.151e+01	+1.384e-01
1	1	+3.165e+01	+3.858e+00
2	2	+3.551e+01	+1.876e+00
1	1	+3.738e+01	+7.675e+00
2	2	+4.506e+01	+5.897e+00
1	1	+5.096e+01	+5.543e+00
2	2	+5.650e+01	+6.723e+00
1	1	+6.322e+01	+4.810e+00
3	3	+6.803e+01	+1.079e+01
2	2	+7.882e+01	+1.240e+00
1	1	+8.007e+01	+4.811e+00
3	3	+8.488e+01	+3.828e+00
1	1	+8.870e+01	+2.951e+00
2	2	+9.166e+01	+7.952e+00
1	1	+9.961e+01	+3.107e+00
3	3	+1.027e+02	+7.184e+00
2	2	+1.099e+02	+7.377e+00
1	1	+1.173e+02	+9.898e-02
3	3	+1.174e+02	+2.917e+01
2	2	+1.465e+02	+9.105e+00
1	1	+1.557e+02	+5.270e-01
2	2	+1.562e+02	+4.926e+00
1	1	+1.611e+02	+3.531e+00
2	2	+1.646e+02	+2.363e+00
1	1	+1.670e+02	+1.558e+01
2	2	+1.826e+02	+1.008e+00
1	1	+1.836e+02	+2.917e+01
2	2	+2.128e+02	+9.320e-01
1	1	+2.137e+02	+1.467e+01
2	2	+2.283e+02	+3.743e+00
1	1	+2.321e+02	+1.107e+01
2	2	+2.432e+02	+3.697e+00
1	1	+2.469e+02	+7.320e+00
2	2	+2.542e+02	+4.537e+00
1	1	+2.587e+02	+1.660e+01
2	2	+2.753e+02	+1.494e+00
1	1	+2.768e+02	+6.472e+00
2	2	+2.833e+02	+1.485e+00
1	1	+2.848e+02	+4.200e+00
2	2	+2.890e+02	+1.808e+00
1	1	+2.908e+02	+1.992e+01
3	3	+3.107e+02	+2.697e+01
1	1	+3.377e+02	+4.302e+00
2	2	+3.420e+02	+7.135e-01
1	1	+3.427e+02	+2.799e+00
2	2	+3.455e+02	+6.066e+00
1	1	+3.515e+02	+1.289e+01
3	3	+3.644e+02	+1.653e+01
2	2	+3.810e+02	+6.972e-01
1	1	+3.817e+02	+3.499e+00
2	2	+3.852e+02	+5.762e+00
1	1	+3.909e+02	+6.738e+00
2	2	+3.977e+02	+5.098e+00
1	1	+4.028e+02	+1.375e+01
2	2	+4.165e+02	+1.234e+00
1	1	+4.178e+02	+1.045e+00
2	2	+4.188e+02	+6.872e+00
1	1	+4.257e+02	+1.835e+00
2	2	+4.275e+02	+1.661e+00
1	1	+4.292e+02	+8.859e+00
3	3	+4.380e+02	+1.853e+00
2	2	+4.399e+02	+1.300e+00
1	1	+4.412e+02	+1.267e-01
3	3	+4.413e+02	+4.329e+00
2	2	+4.456e+02	+5.781e+00
1	1	+4.514e+02	+5.993e+00
3	3	+4.574e+02	+6.746e+00
0	0	+4.642e+02	+Inf
