%state	deg. state	t_start (s)	t_dwell (s)
3	3	+0.000e+00	+1.140e+01
1	1	+1.140e+01	+1.510e-01
3	3	+1.155e+01	+2.351e-01
2	2	+1.178e+01	+4.390e-01
1	1	+1.222e+01	+1.463e+00
3	3	+1.368e+01	+8.302e+00
2	2	+2.199e+01	+5.337e+00
1	1	+2.732e+01	+9.535e-01
2	2	+2.828e+01	+1.398e+00
1	1	+2.967e+01	+1.684e+01
2	2	+4.652e+01	+5.134e-01
1	1	+4.703e+01	+3.641e+00
2	2	+5.067e+01	+2.082e+00
1	1	+5.275e+01	+4.547e+00
2	2	+5.730e+01	+1.449e+00
1	1	+5.875e+01	+7.661e+00
3	3	+6.641e+01	+1.495e+00
2	2	+6.790e+01	+5.660e+00
1	1	+7.356e+01	+7.349e-01
2	2	+7.430e+01	+6.227e+00
1	1	+8.053e+01	+2.090e-01
2	2	+8.073e+01	+2.296e+00
1	1	+8.303e+01	+1.480e+01
2	2	+9.783e+01	+3.667e+00
1	1	+1.015e+02	+1.131e+01
2	2	+1.128e+02	+7.936e+00
1	1	+1.207e+02	+1.969e+00
2	2	+1.227e+02	+7.340e-01
1	1	+1.235e+02	+7.916e+00
3	3	+1.314e+02	+1.156e+00
1	1	+1.325e+02	+2.761e+01
2	2	+1.601e+02	+1.849e+00
1	1	+1.620e+02	+2.846e-01
2	2	+1.623e+02	+8.589e+00
1	1	+1.709e+02	+4.954e+00
2	2	+1.758e+02	+4.522e+00
1	1	+1.803e+02	+3.987e+00
2	2	+1.843e+02	+2.052e-01
1	1	+1.845e+02	+1.773e+00
3	3	+1.863e+02	+2.146e+01
2	2	+2.078e+02	+6.784e+00
1	1	+2.145e+02	+1.056e+01
3	3	+2.251e+02	+5.136e+00
2	2	+2.302e+02	+1.567e-02
1	1	+2.303e+02	+7.128e+00
2	2	+2.374e+02	+1.206e+00
1	1	+2.386e+02	+4.960e-01
3	3	+2.391e+02	+5.292e+00
2	2	+2.444e+02	+7.392e-01
1	1	+2.451e+02	+9.886e+00
2	2	+2.550e+02	+2.766e+00
1	1	+2.578e+02	+6.240e+00
2	2	+2.640e+02	+6.919e-01
1	1	+2.647e+02	+4.746e-01
3	3	+2.652e+02	+1.189e+00
1	1	+2.664e+02	+6.949e-01
3	3	+2.671e+02	+9.567e+00
1	1	+2.766e+02	+7.111e+00
2	2	+2.837e+02	+8.044e+00
1	1	+2.918e+02	+1.042e+01
2	2	+3.022e+02	+1.792e+01
1	1	+3.201e+02	+1.232e+01
2	2	+3.324e+02	+1.459e+00
1	1	+3.339e+02	+6.682e+00
2	2	+3.406e+02	+4.134e+00
1	1	+3.447e+02	+2.031e+00
2	2	+3.467e+02	+6.188e+00
1	1	+3.529e+02	+6.481e+00
2	2	+3.594e+02	+3.966e+00
1	1	+3.634e+02	+9.432e+00
3	3	+3.728e+02	+9.857e+00
2	2	+3.827e+02	+3.160e+00
1	1	+3.858e+02	+1.045e+01
2	2	+3.963e+02	+3.265e+00
1	1	+3.995e+02	+1.451e+00
3	3	+4.010e+02	+3.304e+01
2	2	+4.340e+02	+9.729e+00
1	1	+4.438e+02	+6.978e-01
3	3	+4.445e+02	+4.712e+00
2	2	+4.492e+02	+1.877e-01
1	1	+4.494e+02	+1.019e+01
2	2	+4.596e+02	+2.882e+00
1	1	+4.624e+02	+4.341e+00
2	2	+4.668e+02	+6.124e-01
1	1	+4.674e+02	+3.261e+01
0	0	+5.000e+02	+Inf
