%state	deg. state	t_start (s)	t_dwell (s)
1	1	+0.000e+00	+1.544e+00
2	2	+1.544e+00	+2.536e+00
1	1	+4.080e+00	+3.068e+00
2	2	+7.148e+00	+9.058e+00
1	1	+1.621e+01	+2.061e+01
2	2	+3.681e+01	+4.801e-01
1	1	+3.729e+01	+8.377e+00
2	2	+4.567e+01	+7.678e+00
1	1	+5.335e+01	+9.268e-01
3	3	+5.428e+01	+1.779e+00
2	2	+5.605e+01	+5.413e+00
1	1	+6.147e+01	+7.142e+00
3	3	+6.861e+01	+3.783e+01
2	2	+1.064e+02	+4.786e+00
1	1	+1.112e+02	+5.268e+00
2	2	+1.165e+02	+4.291e+00
1	1	+1.208e+02	+1.933e-01
3	3	+1.210e+02	+2.025e+01
2	2	+1.412e+02	+1.368e-01
1	1	+1.414e+02	+1.715e+00
2	2	+1.431e+02	+6.220e-01
1	1	+1.437e+02	+1.652e+01
3	3	+1.602e+02	+2.040e+00
2	2	+1.623e+02	+5.479e-01
1	1	+1.628e+02	+8.427e+00
2	2	+1.712e+02	+4.998e+00
1	1	+1.762e+02	+1.705e+01
2	2	+1.933e+02	+4.664e+00
1	1	+1.979e+02	+1.022e+00
2	2	+1.990e+02	+2.209e+00
1	1	+2.012e+02	+3.413e-01
2	2	+2.015e+02	+2.537e+00
1	1	+2.041e+02	+5.284e+00
3	3	+2.093e+02	+1.835e+01
2	2	+2.277e+02	+1.201e+00
1	1	+2.289e+02	+4.901e+00
2	2	+2.338e+02	+1.289e+00
1	1	+2.351e+02	+9.837e+00
3	3	+2.449e+02	+3.144e+00
2	2	+2.481e+02	+1.092e-03
1	1	+2.481e+02	+1.993e+01
3	3	+2.680e+02	+1.042e+01
1	1	+2.784e+02	+3.288e+00
2	2	+2.817e+02	+2.313e-01
1	1	+2.819e+02	+9.474e+00
3	3	+2.914e+02	+2.374e+01
2	2	+3.151e+02	+3.456e+00
1	1	+3.186e+02	+1.360e+00
3	3	+3.200e+02	+6.410e+00
2	2	+3.264e+02	+2.257e+00
1	1	+3.286e+02	+3.988e+00
2	2	+3.326e+02	+7.053e+00
1	1	+3.397e+02	+3.857e+00
2	2	+3.435e+02	+5.675e+00
1	1	+3.492e+02	+2.060e+00
2	2	+3.513e+02	+2.761e+00
1	1	+3.540e+02	+6.670e+00
2	2	+3.607e+02	+3.516e+00
1	1	+3.642e+02	+3.780e+00
3	3	+3.680e+02	+7.601e+00
2	2	+3.756e+02	+1.038e+01
1	1	+3.860e+02	+3.034e+00
2	2	+3.890e+02	+2.648e+00
1	1	+3.916e+02	+8.144e+00
2	2	+3.998e+02	+1.334e+00
1	1	+4.011e+02	+1.284e+00
2	2	+4.024e+02	+1.132e+01
1	1	+4.137e+02	+1.042e+01
2	2	+4.241e+02	+1.199e+00
1	1	+4.253e+02	+5.192e+00
2	2	+4.305e+02	+2.827e+00
1	1	+4.334e+02	+4.737e-01
2	2	+4.338e+02	+5.273e+00
1	1	+4.391e+02	+2.526e+00
2	2	+4.416e+02	+6.625e-01
1	1	+4.423e+02	+1.396e+00
2	2	+4.437e+02	+2.462e+00
1	1	+4.462e+02	+5.384e+01
0	0	+5.000e+02	+Inf
