%state	deg. state	t_start (s)	t_dwell (s)
2	2	+0.000e+00	+5.330e-01
1	1	+5.330e-01	+6.753e-01
2	2	+1.208e+00	+1.514e+00
1	1	+2.722e+00	+7.266e+00
2	2	+9.988e+00	+1.699e+00
1	1	+1.169e+01	+8.737e-01
2	2	+1.256e+01	+4.597e+00
1	1	+1.716e+01	+6.150e+00
2	2	+2.331e+01	+3.796e-01
1	1	+2.369e+01	+1.226e+01
2	2	+3.595e+01	+8.571e-01
1	1	+3.680e+01	+3.367e+00
3	3	+4.017e+01	+1.757e+00
2	2	+4.193e+01	+1.053e+01
1	1	+5.246e+01	+1.913e+00
3	3	+5.437e+01	+2.055e+01
2	2	+7.492e+01	+6.369e+00
1	1	+8.128e+01	+2.201e+00
2	2	+8.349e+01	+1.431e+00
1	1	+8.492e+01	+1.755e+01
2	2	+1.025e+02	+4.666e+00
1	1	+1.071e+02	+1.861e+01
2	2	+1.257e+02	+1.734e+00
1	1	+1.275e+02	+2.147e+01
2	2	+1.489e+02	+2.328e+00
1	1	+1.513e+02	+8.430e+00
3	3	+1.597e+02	+3.561e+01
2	2	+1.953e+02	+1.610e-01
1	1	+1.955e+02	+1.146e+01
2	2	+2.069e+02	+1.589e+00
1	1	+2.085e+02	+3.091e+00
2	2	+2.116e+02	+9.205e-01
1	1	+2.125e+02	+2.820e+01
2	2	+2.407e+02	+3.436e-01
1	1	+2.411e+02	+3.501e+01
2	2	+2.761e+02	+7.763e-02
1	1	+2.762e+02	+5.854e+00
2	2	+2.820e+02	+6.871e+00
1	1	+2.889e+02	+2.058e+01
2	2	+3.095e+02	+2.292e+00
1	1	+3.118e+02	+5.949e+00
2	2	+3.177e+02	+9.130e+00
1	1	+3.268e+02	+1.858e-01
3	3	+3.270e+02	+2.197e+00
2	2	+3.292e+02	+1.693e-01
1	1	+3.294e+02	+9.695e+00
2	2	+3.391e+02	+2.373e+00
1	1	+3.415e+02	+9.034e+00
2	2	+3.505e+02	+1.392e+00
1	1	+3.519e+02	+3.452e+00
2	2	+3.553e+02	+4.943e+00
1	1	+3.603e+02	+1.091e+01
3	3	+3.712e+02	+3.157e+00
2	2	+3.743e+02	+7.274e-02
1	1	+3.744e+02	+3.466e+00
2	2	+3.779e+02	+1.787e+00
1	1	+3.797e+02	+2.515e-01
2	2	+3.799e+02	+5.477e+00
1	1	+3.854e+02	+6.150e+00
2	2	+3.915e+02	+2.056e+00
1	1	+3.936e+02	+1.489e+01
2	2	+4.085e+02	+1.782e+00
1	1	+4.103e+02	+5.346e+00
2	2	+4.156e+02	+9.150e+00
1	1	+4.248e+02	+6.329e+00
2	2	+4.311e+02	+1.158e+00
1	1	+4.322e+02	+1.225e+00
2	2	+4.335e+02	+2.415e+00
1	1	+4.359e+02	+1.989e+01
3	3	+4.558e+02	+9.125e+00
1	1	+4.649e+02	+1.114e+01
2	2	+4.760e+02	+4.437e-03
1	1	+4.760e+02	+1.196e+01
2	2	+4.880e+02	+1.918e+00
1	1	+4.899e+02	+1.920e+00
2	2	+4.918e+02	+3.438e+00
1	1	+4.953e+02	+4.694e+00
2	2	+5.000e+02	+3.337e-02
0	0	+5.000e+02	+Inf
