%state	deg. state	t_start (s)	t_dwell (s)
2	2	+0.000e+00	+1.511e+01
1	1	+1.511e+01	+7.564e+00
3	3	+2.268e+01	+8.217e-01
2	2	+2.350e+01	+1.674e+00
1	1	+2.517e+01	+4.230e+00
2	2	+2.940e+01	+1.757e+01
1	1	+4.697e+01	+1.539e+01
2	2	+6.236e+01	+1.974e-01
1	1	+6.256e+01	+1.074e+01
3	3	+7.330e+01	+2.214e+01
1	1	+9.544e+01	+6.945e+00
2	2	+1.024e+02	+8.824e+00
1	1	+1.112e+02	+9.499e-03
2	2	+1.112e+02	+3.204e+00
1	1	+1.144e+02	+6.030e+00
2	2	+1.204e+02	+9.917e-01
1	1	+1.214e+02	+1.098e+01
2	2	+1.324e+02	+9.187e-01
1	1	+1.333e+02	+5.970e-01
3	3	+1.339e+02	+7.295e+00
2	2	+1.412e+02	+1.912e+00
1	1	+1.431e+02	+1.660e+01
2	2	+1.597e+02	+7.696e-01
1	1	+1.605e+02	+1.911e+01
2	2	+1.796e+02	+8.997e-01
1	1	+1.805e+02	+1.194e+00
2	2	+1.817e+02	+1.244e+01
1	1	+1.942e+02	+2.225e+01
3	3	+2.164e+02	+3.122e+01
2	2	+2.476e+02	+8.780e+00
1	1	+2.564e+02	+8.143e+00
2	2	+2.646e+02	+2.197e+00
1	1	+2.668e+02	+1.794e-01
3	3	+2.669e+02	+4.899e+00
2	2	+2.718e+02	+3.273e+00
1	1	+2.751e+02	+5.441e+00
2	2	+2.805e+02	+6.268e+00
1	1	+2.868e+02	+1.038e+00
3	3	+2.879e+02	+1.396e+01
2	2	+3.018e+02	+1.270e+00
1	1	+3.031e+02	+4.596e+00
3	3	+3.077e+02	+2.124e+00
2	2	+3.098e+02	+8.401e+00
1	1	+3.182e+02	+6.974e+00
2	2	+3.252e+02	+7.795e-01
1	1	+3.260e+02	+1.566e+01
2	2	+3.416e+02	+5.180e-02
1	1	+3.417e+02	+3.747e+00
2	2	+3.454e+02	+3.380e+00
1	1	+3.488e+02	+2.900e-01
3	3	+3.491e+02	+1.546e+01
2	2	+3.645e+02	+6.838e+00
1	1	+3.714e+02	+9.888e-01
2	2	+3.724e+02	+2.924e+00
1	1	+3.753e+02	+4.163e+00
2	2	+3.795e+02	+1.406e+01
1	1	+3.935e+02	+1.953e+01
2	2	+4.131e+02	+1.795e+00
1	1	+4.149e+02	+2.129e+00
2	2	+4.170e+02	+1.105e+01
1	1	+4.280e+02	+5.963e+00
3	3	+4.340e+02	+7.315e+00
2	2	+4.413e+02	+2.025e+00
1	1	+4.433e+02	+4.625e-01
2	2	+4.438e+02	+8.373e+00
1	1	+4.522e+02	+7.684e+00
2	2	+4.599e+02	+8.018e-01
1	1	+4.607e+02	+1.115e+00
2	2	+4.618e+02	+3.017e+00
1	1	+4.648e+02	+8.065e-01
3	3	+4.656e+02	+2.333e+01
2	2	+4.889e+02	+6.730e+00
1	1	+4.957e+02	+6.983e-01
3	3	+4.964e+02	+3.642e+00
0	0	+5.000e+02	+Inf
