%state	deg. state	t_start (s)	t_dwell (s)
2	2	+0.000e+00	+3.309e-01
1	1	+3.309e-01	+1.174e+01
2	2	+1.207e+01	+9.764e-01
1	1	+1.305e+01	+9.282e+00
2	2	+2.233e+01	+1.166e+00
1	1	+2.350e+01	+2.210e+01
3	3	+4.560e+01	+5.329e+00
2	2	+5.093e+01	+1.683e+00
1	1	+5.261e+01	+2.974e+00
2	2	+5.558e+01	+6.206e+00
1	1	+6.179e+01	+3.628e+00
2	2	+6.542e+01	+7.451e+00
1	1	+7.287e+01	+4.804e+00
2	2	+7.767e+01	+1.110e+00
1	1	+7.878e+01	+1.473e+01
3	3	+9.351e+01	+1.135e-01
2	2	+9.363e+01	+1.192e+01
1	1	+1.055e+02	+7.809e+00
2	2	+1.134e+02	+1.468e+00
1	1	+1.148e+02	+1.030e+00
2	2	+1.159e+02	+6.367e+00
1	1	+1.222e+02	+2.851e+00
2	2	+1.251e+02	+1.317e+00
1	1	+1.264e+02	+3.969e+00
3	3	+1.304e+02	+1.032e+01
2	2	+1.407e+02	+1.569e-01
1	1	+1.408e+02	+2.589e-01
2	2	+1.411e+02	+4.405e+00
1	1	+1.455e+02	+8.587e+00
2	2	+1.541e+02	+5.221e-01
1	1	+1.546e+02	+8.309e+00
2	2	+1.629e+02	+3.024e-01
1	1	+1.632e+02	+4.303e+00
2	2	+1.675e+02	+1.676e+00
1	1	+1.692e+02	+1.337e+01
2	2	+1.826e+02	+2.997e+00
1	1	+1.856e+02	+9.143e+00
3	3	+1.947e+02	+1.240e+01
2	2	+2.071e+02	+5.667e-01
1	1	+2.077e+02	+1.008e+01
3	3	+2.178e+02	+1.055e+01
2	2	+2.283e+02	+3.251e-01
1	1	+2.286e+02	+4.659e+00
2	2	+2.333e+02	+5.014e+00
1	1	+2.383e+02	+8.844e-01
2	2	+2.392e+02	+8.030e+00
1	1	+2.472e+02	+1.475e+00
2	2	+2.487e+02	+6.571e+00
1	1	+2.553e+02	+1.891e+00
2	2	+2.572e+02	+2.428e+00
1	1	+2.596e+02	+1.556e+01
2	2	+2.751e+02	+4.812e+00
1	1	+2.799e+02	+1.131e+01
2	2	+2.913e+02	+3.036e+00
1	1	+2.943e+02	+1.697e+01
2	2	+3.113e+02	+8.189e-01
1	1	+3.121e+02	+5.051e+00
2	2	+3.171e+02	+3.379e+00
1	1	+3.205e+02	+4.458e+00
2	2	+3.250e+02	+5.299e+00
1	1	+3.303e+02	+1.039e+01
3	3	+3.407e+02	+2.080e+00
2	2	+3.427e+02	+3.532e+00
1	1	+3.463e+02	+5.554e-01
2	2	+3.468e+02	+3.071e+00
1	1	+3.499e+02	+8.610e-01
3	3	+3.508e+02	+1.445e+01
1	1	+3.652e+02	+1.085e+00
2	2	+3.663e+02	+1.680e+01
1	1	+3.831e+02	+5.684e+00
2	2	+3.888e+02	+5.586e+00
1	1	+3.944e+02	+8.279e+00
2	2	+4.026e+02	+2.338e-01
1	1	+4.029e+02	+3.333e-01
3	3	+4.032e+02	+2.035e+01
2	2	+4.236e+02	+1.219e+00
1	1	+4.248e+02	+8.777e+00
2	2	+4.336e+02	+1.326e+00
1	1	+4.349e+02	+1.077e+01
2	2	+4.456e+02	+9.982e-01
1	1	+4.466e+02	+5.290e+00
2	2	+4.519e+02	+1.697e+00
1	1	+4.536e+02	+5.756e-01
3	3	+4.542e+02	+8.466e+00
2	2	+4.627e+02	+1.004e+01
1	1	+4.727e+02	+1.072e+01
2	2	+4.834e+02	+6.754e-01
1	1	+4.841e+02	+2.083e+00
2	2	+4.862e+02	+5.949e+00
1	1	+4.921e+02	+1.028e+00
2	2	+4.932e+02	+2.969e-02
1	1	+4.932e+02	+6.802e+00
0	0	+5.000e+02	+Inf
