%state	deg. state	t_start (s)	t_dwell (s)
2	2	+0.000e+00	+3.092e+00
1	1	+3.092e+00	+5.794e+00
2	2	+8.886e+00	+8.989e+00
1	1	+1.788e+01	+6.755e+00
3	3	+2.463e+01	+5.919e+00
2	2	+3.055e+01	+9.991e-01
1	1	+3.155e+01	+1.286e+00
2	2	+3.283e+01	+4.283e+00
1	1	+3.712e+01	+6.238e+00
2	2	+4.335e+01	+9.784e+00
1	1	+5.314e+01	+2.112e+00
3	3	+5.525e+01	+1.902e+01
2	2	+7.427e+01	+8.608e-01
1	1	+7.513e+01	+1.377e+00
2	2	+7.651e+01	+1.126e+01
1	1	+8.777e+01	+4.617e-01
3	3	+8.823e+01	+1.835e+00
2	2	+9.007e+01	+2.557e+00
1	1	+9.263e+01	+1.086e+01
2	2	+1.035e+02	+8.621e-01
1	1	+1.044e+02	+9.019e+00
2	2	+1.134e+02	+4.568e+00
1	1	+1.179e+02	+7.745e-01
2	2	+1.187e+02	+1.677e+00
1	1	+1.204e+02	+9.748e+00
3	3	+1.301e+02	+1.706e+01
2	2	+1.472e+02	+5.123e+00
1	1	+1.523e+02	+5.232e-01
3	3	+1.528e+02	+2.319e+00
2	2	+1.552e+02	+1.249e+00
1	1	+1.564e+02	+3.208e+00
3	3	+1.596e+02	+9.859e-01
2	2	+1.606e+02	+2.850e+00
1	1	+1.635e+02	+7.781e+00
2	2	+1.712e+02	+4.446e+00
1	1	+1.757e+02	+2.022e+00
2	2	+1.777e+02	+7.071e+00
1	1	+1.848e+02	+7.493e+00
2	2	+1.923e+02	+1.159e+01
1	1	+2.039e+02	+2.901e+01
3	3	+2.329e+02	+2.023e+01
1	1	+2.531e+02	+3.168e-02
2	2	+2.531e+02	+9.259e-01
1	1	+2.541e+02	+8.000e-01
2	2	+2.549e+02	+3.067e+00
1	1	+2.579e+02	+1.682e+01
2	2	+2.747e+02	+3.029e+00
1	1	+2.778e+02	+8.599e+00
2	2	+2.864e+02	+8.960e+00
1	1	+2.953e+02	+4.994e+00
2	2	+3.003e+02	+6.158e+00
1	1	+3.065e+02	+1.707e+00
3	3	+3.082e+02	+1.351e+01
1	1	+3.217e+02	+5.143e+00
3	3	+3.268e+02	+7.923e+00
2	2	+3.348e+02	+6.643e+00
1	1	+3.414e+02	+1.355e+01
2	2	+3.550e+02	+8.088e+00
1	1	+3.630e+02	+1.138e+01
3	3	+3.744e+02	+1.276e+00
1	1	+3.757e+02	+4.201e+00
3	3	+3.799e+02	+2.085e-01
2	2	+3.801e+02	+5.057e+00
1	1	+3.852e+02	+2.894e+00
2	2	+3.881e+02	+5.479e+00
1	1	+3.935e+02	+1.165e+01
2	2	+4.052e+02	+3.118e+00
1	1	+4.083e+02	+2.036e+00
3	3	+4.103e+02	+2.337e+01
2	2	+4.337e+02	+1.636e-01
1	1	+4.339e+02	+6.567e+00
3	3	+4.404e+02	+2.965e+00
2	2	+4.434e+02	+4.733e+00
1	1	+4.481e+02	+4.558e+00
3	3	+4.527e+02	+1.170e+00
2	2	+4.539e+02	+1.042e+00
1	1	+4.549e+02	+2.889e+00
3	3	+4.578e+02	+7.977e+00
2	2	+4.658e+02	+1.549e+00
1	1	+4.673e+02	+2.301e+00
2	2	+4.696e+02	+3.808e-01
1	1	+4.700e+02	+9.600e+00
3	3	+4.796e+02	+1.410e+01
2	2	+4.937e+02	+2.165e+00
1	1	+4.959e+02	+1.814e+00
2	2	+4.977e+02	+2.312e+00
0	0	+5.000e+02	+Inf
