%state	deg. state	t_start (s)	t_dwell (s)
2	2	+0.000e+00	+5.220e-01
1	1	+5.220e-01	+1.932e+00
2	2	+2.454e+00	+2.330e+00
1	1	+4.784e+00	+4.359e+00
3	3	+9.142e+00	+3.733e+01
2	2	+4.648e+01	+5.684e+00
1	1	+5.216e+01	+3.593e+00
3	3	+5.575e+01	+2.762e+01
2	2	+8.337e+01	+5.568e+00
1	1	+8.894e+01	+1.498e+00
3	3	+9.044e+01	+2.250e+00
2	2	+9.269e+01	+1.551e+00
1	1	+9.424e+01	+9.774e+00
2	2	+1.040e+02	+2.867e+00
1	1	+1.069e+02	+1.397e+00
2	2	+1.083e+02	+2.003e+00
1	1	+1.103e+02	+2.345e+00
2	2	+1.126e+02	+2.899e+00
1	1	+1.155e+02	+3.136e+01
2	2	+1.469e+02	+1.881e-01
1	1	+1.471e+02	+1.667e+00
3	3	+1.487e+02	+4.636e+00
2	2	+1.534e+02	+1.893e+00
1	1	+1.553e+02	+5.683e+00
2	2	+1.610e+02	+7.110e-01
1	1	+1.617e+02	+9.762e-01
2	2	+1.626e+02	+4.948e+00
1	1	+1.676e+02	+6.355e-01
2	2	+1.682e+02	+5.108e+00
1	1	+1.733e+02	+8.564e+00
2	2	+1.819e+02	+3.542e+00
1	1	+1.854e+02	+1.085e+01
2	2	+1.963e+02	+3.259e+00
1	1	+1.995e+02	+4.513e-01
0	0	+2.000e+02	+Inf
