%state	deg. state	t_start (s)	t_dwell (s)
1	1	+0.000e+00	+9.119e-03
2	2	+9.119e-03	+9.062e+00
1	1	+9.072e+00	+4.832e+00
3	3	+1.390e+01	+2.103e+01
1	1	+3.494e+01	+1.715e+01
2	2	+5.209e+01	+1.338e+00
1	1	+5.343e+01	+2.876e+01
2	2	+8.219e+01	+1.802e+00
1	1	+8.399e+01	+1.006e+01
3	3	+9.405e+01	+3.323e+01
2	2	+1.273e+02	+3.236e+00
1	1	+1.305e+02	+2.970e+00
3	3	+1.335e+02	+6.780e-01
2	2	+1.342e+02	+6.872e+00
1	1	+1.410e+02	+8.584e+00
2	2	+1.496e+02	+3.491e+00
1	1	+1.531e+02	+4.065e+00
2	2	+1.572e+02	+3.065e+00
1	1	+1.602e+02	+2.079e+00
3	3	+1.623e+02	+1.401e-02
1	1	+1.623e+02	+1.747e+01
2	2	+1.798e+02	+1.659e+01
1	1	+1.964e+02	+3.602e+00
0	0	+2.000e+02	+Inf
