%state	deg. state	t_start (s)	t_dwell (s)
3	3	+0.000e+00	+2.463e+01
2	2	+2.463e+01	+1.218e+01
1	1	+3.681e+01	+1.412e+01
2	2	+5.093e+01	+4.325e-01
1	1	+5.136e+01	+5.721e+00
2	2	+5.709e+01	+7.175e-01
1	1	+5.780e+01	+1.714e+00
2	2	+5.952e+01	+7.015e+00
1	1	+6.653e+01	+6.689e+00
2	2	+7.322e+01	+1.725e-01
1	1	+7.339e+01	+1.360e+00
2	2	+7.475e+01	+6.740e+00
1	1	+8.149e+01	+3.256e+00
2	2	+8.475e+01	+1.404e+01
1	1	+9.878e+01	+8.494e+00
2	2	+1.073e+02	+8.116e+00
1	1	+1.154e+02	+1.297e+01
2	2	+1.284e+02	+2.000e-01
1	1	+1.286e+02	+9.017e+00
3	3	+1.376e+02	+1.632e+01
2	2	+1.539e+02	+1.864e+00
1	1	+1.558e+02	+3.557e+00
2	2	+1.593e+02	+1.045e+01
1	1	+1.698e+02	+5.852e+00
2	2	+1.756e+02	+9.819e-01
1	1	+1.766e+02	+1.850e+00
2	2	+1.785e+02	+7.658e-01
1	1	+1.792e+02	+1.591e-01
3	3	+1.794e+02	+2.058e+01
2	2	+2.000e+02	+2.598e-02
0	0	+2.000e+02	+Inf
