%state	deg. state	t_start (s)	t_dwell (s)
3	3	+0.000e+00	+1.806e+01
2	2	+1.806e+01	+4.359e+00
1	1	+2.242e+01	+1.869e+00
2	2	+2.429e+01	+1.117e+00
1	1	+2.541e+01	+6.107e-02
2	2	+2.547e+01	+2.262e+00
1	1	+2.773e+01	+1.694e+01
2	2	+4.467e+01	+3.012e-01
1	1	+4.497e+01	+2.098e+01
2	2	+6.595e+01	+3.394e+00
1	1	+6.935e+01	+8.961e-01
2	2	+7.024e+01	+5.425e-01
1	1	+7.079e+01	+1.167e+00
2	2	+7.195e+01	+2.715e+00
1	1	+7.467e+01	+4.459e+00
2	2	+7.913e+01	+2.100e+00
1	1	+8.123e+01	+3.272e+00
2	2	+8.450e+01	+8.678e-01
1	1	+8.537e+01	+9.149e+00
3	3	+9.452e+01	+2.137e+01
2	2	+1.159e+02	+6.981e+00
1	1	+1.229e+02	+6.536e+00
2	2	+1.294e+02	+1.661e+00
1	1	+1.311e+02	+1.599e+01
2	2	+1.471e+02	+1.043e-01
1	1	+1.472e+02	+2.054e+01
2	2	+1.677e+02	+6.324e+00
1	1	+1.740e+02	+2.132e+01
2	2	+1.953e+02	+4.660e+00
0	0	+2.000e+02	+Inf
